,Unnamed: 0,Unnamed: 0.1,index,district,enddate,leadership_title,party,person__bioguideid,gender,person__id,person__name,role_type,state,title,row_nums
0,0,0,23,18.0,2017-01-03,,Republican,L000585,,412674,Rep. Darin LaHood,representative,IL,Rep.,0
1,1,1,33,4.0,2017-01-03,,Republican,A000055,,400004,Rep. Robert Aderholt,representative,AL,Rep.,1
2,2,2,34,6.0,2017-01-03,,Republican,B000213,,400018,Rep. Joe Barton,representative,TX,Rep.,2
3,3,3,35,34.0,2017-01-03,,Democrat,B000287,,400021,Rep. Xavier Becerra,representative,CA,Rep.,3
4,4,4,36,1.0,2017-01-03,,Republican,B001250,,400029,Rep. Rob Bishop,representative,UT,Rep.,4
5,5,5,37,2.0,2017-01-03,,Democrat,B000490,,400030,Rep. Sanford Bishop,representative,GA,Rep.,5
6,6,6,38,7.0,2017-01-03,,Republican,B001243,,400032,Rep. Marsha Blackburn,representative,TN,Rep.,6
7,7,7,39,3.0,2017-01-03,,Democrat,B000574,,400033,Rep. Earl Blumenauer,representative,OR,Rep.,7
8,8,8,41,8.0,2017-01-03,,Republican,B000755,,400046,Rep. Kevin Brady,representative,TX,Rep.,8
9,9,9,42,1.0,2017-01-03,,Democrat,B001227,,400047,Rep. Robert Brady,representative,PA,Rep.,9
10,10,10,43,5.0,2017-01-03,,Democrat,B000911,,400048,Rep. Corrine Brown,representative,FL,Rep.,10
11,11,11,44,26.0,2017-01-03,,Republican,B001248,,400052,Rep. Michael Burgess,representative,TX,Rep.,11
12,12,12,45,42.0,2017-01-03,,Republican,C000059,,400057,Rep. Ken Calvert,representative,CA,Rep.,12
13,13,13,46,24.0,2017-01-03,,Democrat,C001036,,400062,Rep. Lois Capps,representative,CA,Rep.,13
14,14,14,47,7.0,2017-01-03,,Democrat,C001037,,400063,Rep. Michael Capuano,representative,MA,Rep.,14
15,15,15,48,31.0,2017-01-03,,Republican,C001051,,400068,Rep. John Carter,representative,TX,Rep.,15
16,16,16,49,1.0,2017-01-03,,Republican,C000266,,400071,Rep. Steve Chabot,representative,OH,Rep.,16
17,17,17,50,1.0,2017-01-03,,Democrat,C001049,,400074,Rep. Lacy Clay,representative,MO,Rep.,17
18,18,18,51,6.0,2017-01-03,,Democrat,C000537,,400075,Rep. James “Jim” Clyburn,representative,SC,Rep.,18
19,19,19,52,6.0,2017-01-03,,Republican,W000819,,412670,Rep. Mark Walker,representative,NC,Rep.,19
20,20,20,53,4.0,2017-01-03,,Republican,C001053,,400077,Rep. Tom Cole,representative,OK,Rep.,20
21,21,21,54,13.0,2017-01-03,,Democrat,C000714,,400080,Rep. John Conyers,representative,MI,Rep.,21
22,22,22,55,5.0,2017-01-03,,Democrat,C000754,,400081,Rep. Jim Cooper,representative,TN,Rep.,22
23,23,23,56,4.0,2017-01-03,,Republican,C001045,,400086,Rep. Ander Crenshaw,representative,FL,Rep.,23
24,24,24,57,14.0,2017-01-03,,Democrat,C001038,,400087,Rep. Joseph “Joe” Crowley,representative,NY,Rep.,24
25,25,25,58,7.0,2017-01-03,,Republican,C001048,,400089,Rep. John Culberson,representative,TX,Rep.,25
26,26,26,59,7.0,2017-01-03,,Democrat,C000984,,400090,Rep. Elijah Cummings,representative,MD,Rep.,26
27,27,27,60,7.0,2017-01-03,,Democrat,D000096,,400093,Rep. Danny Davis,representative,IL,Rep.,27
28,28,28,61,53.0,2017-01-03,,Democrat,D000598,,400097,Rep. Susan Davis,representative,CA,Rep.,28
29,29,29,62,4.0,2017-01-03,,Democrat,D000191,,400100,Rep. Peter DeFazio,representative,OR,Rep.,29
30,30,30,63,1.0,2017-01-03,,Democrat,D000197,,400101,Rep. Diana DeGette,representative,CO,Rep.,30
31,31,31,64,3.0,2017-01-03,,Democrat,D000216,,400103,Rep. Rosa DeLauro,representative,CT,Rep.,31
32,32,32,65,25.0,2017-01-03,,Republican,D000600,,400108,Rep. Mario Diaz-Balart,representative,FL,Rep.,32
33,33,33,66,35.0,2017-01-03,,Democrat,D000399,,400111,Rep. Lloyd Doggett,representative,TX,Rep.,33
34,34,34,67,14.0,2017-01-03,,Democrat,D000482,,400114,Rep. Michael “Mike” Doyle,representative,PA,Rep.,34
35,35,35,68,2.0,2017-01-03,,Republican,D000533,,400116,Rep. John “Jimmy” Duncan,representative,TN,Rep.,35
36,36,36,69,16.0,2017-01-03,,Democrat,E000179,,400122,Rep. Eliot Engel,representative,NY,Rep.,36
37,37,37,70,18.0,2017-01-03,,Democrat,E000215,,400124,Rep. Anna Eshoo,representative,CA,Rep.,37
38,38,38,71,20.0,2017-01-03,,Democrat,F000030,,400129,Rep. Sam Farr,representative,CA,Rep.,38
39,39,39,72,2.0,2017-01-03,,Democrat,F000043,,400130,Rep. Chaka Fattah,representative,PA,Rep.,39
40,40,40,73,4.0,2017-01-03,,Republican,F000445,,400137,Rep. Randy Forbes,representative,VA,Rep.,40
41,41,41,74,8.0,2017-01-03,,Republican,F000448,,400141,Rep. Trent Franks,representative,AZ,Rep.,41
42,42,42,75,11.0,2017-01-03,,Republican,F000372,,400142,Rep. Rodney Frelinghuysen,representative,NJ,Rep.,42
43,43,43,76,5.0,2017-01-03,,Republican,G000548,,400145,Rep. Scott Garrett,representative,NJ,Rep.,43
44,44,44,77,6.0,2017-01-03,,Republican,G000289,,400154,Rep. Bob Goodlatte,representative,VA,Rep.,44
45,45,45,78,12.0,2017-01-03,,Republican,G000377,,400157,Rep. Kay Granger,representative,TX,Rep.,45
46,46,46,79,6.0,2017-01-03,,Republican,G000546,,400158,Rep. Sam Graves,representative,MO,Rep.,46
47,47,47,80,29.0,2017-01-03,,Democrat,G000410,,400160,Rep. Gene Green,representative,TX,Rep.,47
48,48,48,81,3.0,2017-01-03,,Democrat,G000551,,400162,Rep. Raúl Grijalva,representative,AZ,Rep.,48
49,49,49,82,4.0,2017-01-03,,Democrat,G000535,,400163,Rep. Luis Gutiérrez,representative,IL,Rep.,49
50,50,50,83,20.0,2017-01-03,,Democrat,H000324,,400170,Rep. Alcee Hastings,representative,FL,Rep.,50
51,51,51,84,5.0,2017-01-03,,Republican,H001036,,400175,Rep. Jeb Hensarling,representative,TX,Rep.,51
52,52,52,85,15.0,2017-01-03,,Democrat,H000636,,400179,Rep. Rubén Hinojosa,representative,TX,Rep.,52
53,53,53,86,17.0,2017-01-03,,Democrat,H001034,,400185,Rep. Michael “Mike” Honda,representative,CA,Rep.,53
54,54,54,87,5.0,2017-01-03,Minority Whip,Democrat,H000874,,400189,Rep. Steny Hoyer,representative,MD,Rep.,54
55,55,55,88,3.0,2017-01-03,,Democrat,I000057,,400195,Rep. Steve Israel,representative,NY,Rep.,55
56,56,56,89,49.0,2017-01-03,,Republican,I000056,,400196,Rep. Darrell Issa,representative,CA,Rep.,56
57,57,57,90,18.0,2017-01-03,,Democrat,J000032,,400199,Rep. Sheila Jackson Lee,representative,TX,Rep.,57
58,58,58,91,30.0,2017-01-03,,Democrat,J000126,,400204,Rep. Eddie Johnson,representative,TX,Rep.,58
59,59,59,92,3.0,2017-01-03,,Republican,J000174,,400206,Rep. Sam Johnson,representative,TX,Rep.,59
60,60,60,93,3.0,2017-01-03,,Republican,J000255,,400209,Rep. Walter Jones,representative,NC,Rep.,60
61,61,61,94,9.0,2017-01-03,,Democrat,K000009,,400211,Rep. Marcy Kaptur,representative,OH,Rep.,61
62,62,62,95,3.0,2017-01-03,,Democrat,K000188,,400218,Rep. Ron Kind,representative,WI,Rep.,62
63,63,63,96,2.0,2017-01-03,,Republican,K000210,,400219,Rep. Peter “Pete” King,representative,NY,Rep.,63
64,64,64,97,4.0,2017-01-03,,Republican,K000362,,400220,Rep. Steve King,representative,IA,Rep.,64
65,65,65,98,2.0,2017-01-03,,Republican,K000363,,400224,Rep. John Kline,representative,MN,Rep.,65
66,66,66,99,2.0,2017-01-03,,Democrat,L000559,,400230,Rep. James “Jim” Langevin,representative,RI,Rep.,66
67,67,67,100,2.0,2017-01-03,,Democrat,L000560,,400232,Rep. Rick Larsen,representative,WA,Rep.,67
68,68,68,101,1.0,2017-01-03,,Democrat,L000557,,400233,Rep. John Larson,representative,CT,Rep.,68
