display_number,id,text
H.R. 2795,118056,Emergency management Congressional oversight Emergency planning and evacuation First responders and emergency personnel Government studies and investigations Performance measurement Terrorism
H.R. 3842,118048,Crime and law enforcement
H.R. 8,118017,Energy Administrative law and regulatory procedures Alternative and renewable resources Building construction Canada Caribbean area Computer security and identity theft Computers and information technology Congressional oversight Department of Energy Educational facilities and institutions Electric power generation and transmission Elementary and secondary education Emergency planning and evacuation Employment and training programs Energy efficiency and conservation Energy storage supplies demand Environmental assessment monitoring research Executive agency funding and structure Federal Energy Regulatory Commission (FERC) General energy matters Government buildings facilities and property Government information and archives Government studies and investigations Higher education Latin America Licensing and registrations Lighting and heating Manufacturing Mexico Natural disasters Oil and gas Public contracts and procurement Public utilities and utility rates Strategic materials and reserves Water use and supply
S.J.Res. 23,117995,Environmental protection Administrative law and regulatory procedures Air quality Climate change and greenhouse gases Coal Congressional oversight Electric power generation and transmission Environmental Protection Agency (EPA) Environmental regulatory procedures Oil and gas
S.J.Res. 24,117996,Environmental protection Administrative law and regulatory procedures Air quality Climate change and greenhouse gases Coal Congressional oversight Electric power generation and transmission Environmental Protection Agency (EPA) Environmental regulatory procedures Oil and gas
H.R. 4038,117986,Immigration Border security and unlawful immigration Congressional oversight Criminal investigation prosecution interrogation Criminal justice information and records Government studies and investigations Immigration status and procedures Iraq Middle East Refugees asylum displaced persons Syria Terrorism
H.R. 3189,117983,Finance and financial sector
H.Res. 531,117984,
H.R. 1210,117980,Finance and financial sector Bank accounts deposits capital Banking and financial institutions regulation Civil actions and liability Housing finance and home ownership
H.R. 511,117973,Native Americans Federal-Indian relations Indian lands and resources rights Labor-management relations
H.R. 308,117965,Native Americans Arizona Gambling Indian lands and resources rights Land transfers
S. 1356,117957,Armed forces and national security Accounting and auditing Advanced technology and technological innovations Advisory bodies Afghanistan Alliances American Samoa Animal protection and human-animal relationships Asia Assault and harassment offenses Aviation and airports Border security and unlawful immigration Budget deficits and national debt Budget process California Caribbean area China Computer security and identity theft Computers and information technology Conflicts and wars Congressional oversight Correctional facilities and imprisonment Crime prevention Crime victims Crimes against women Criminal investigation prosecution interrogation Criminal justice information and records Cuba Customs enforcement Cyprus Defense spending Department of Defense Department of Homeland Security Department of Veterans Affairs Detention of persons Disaster relief and insurance Domestic violence and child abuse Drug trafficking and controlled substances Economic development El Salvador Employee performance Employment discrimination and employee rights Endangered and threatened species Europe Evidence and witnesses Executive agency funding and structure Financial literacy Firearms and explosives Foreign aid and international relief Gambling Government employee pay benefits personnel management Government studies and investigations Guam Guatemala Hazardous wastes and toxic substances Health care costs and insurance Health facilities and institutions Higher education Honduras Human rights Intellectual property Intelligence activities surveillance classified information International law and treaties Iran Iraq Israel Japan Jordan Labor standards Latin America Law enforcement officers Lawyers and legal services Lebanon Licensing and registrations Mammals Marine and coastal resources fisheries Marketing and advertising Mental health Middle East Military assistance sales and agreements Military civil functions Military command and structure Military education and training Military facilities and property Military law Military medicine Military operations and strategy Military personnel and dependents Military procurement research weapons development Military readiness Minority and disadvantaged businesses Minority education National Guard and reserves Northern Mariana Islands Oklahoma Organized crime Pacific Ocean Pakistan Professional sports Protest and dissent Public contracts and procurement Qatar Refugees asylum displaced persons Religion Research and development Right of privacy Russia Service animals Sex offenses Small business Sovereignty recognition national governance and status Syria Terrorism Transportation costs Ukraine Unemployment Veterans' education employment rehabilitation Veterans' medical care Violent crime Virgin Islands Women's employment Women's health Yemen
H.Res. 354,117913,International affairs Congressional oversight Crime prevention Criminal investigation prosecution interrogation Diplomacy foreign officials Americans abroad Europe European Union Hate crimes Human rights International organizations and cooperation Law enforcement administration and funding Law enforcement officers Political movements and philosophies Racial and ethnic relations Religion Terrorism Violent crime
H.R. 1853,117911,International affairs Asia International organizations and cooperation Law enforcement administration and funding Taiwan
H.Res. 495,117904,
H.Res. 450,117896,Congress House of Representatives Legislative rules and procedure
H.R. 10,117873,Education Academic performance and assessments Accounting and auditing District of Columbia Education programs funding Elementary and secondary education Performance measurement Student aid and college costs
