,id,related_bill__display_number,created,result,question,required,total_minus,total_other,total_plus,vote_type,session,margin,category,link
2,116106,H.Res. 5,2015-01-06T15:07:00,Passed,Table Motion to Refer: H RES 5 Adopting rules for the One Hundred Fourteenth Congress,1/2,160,21,230,Table Motion to Refer,2015,0.179487,unknown,https://www.govtrack.us/congress/votes/114-2015/h3
3,116109,H.Res. 5,2015-01-06T16:52:00,Passed,On Ordering the Previous Question: H.Res. 5: Adopting rules for the One Hundred Fourteenth Congress.,1/2,168,8,239,On Ordering the Previous Question,2015,0.174447,procedural,https://www.govtrack.us/congress/votes/114-2015/h4
4,116110,H.Res. 5,2015-01-06T17:14:00,Failed,On Motion to Commit with Instructions: H.Res. 5: Adopting rules for the One Hundred Fourteenth Congress.,1/2,243,4,168,On Motion to Commit with Instructions,2015,0.182482,procedural,https://www.govtrack.us/congress/votes/114-2015/h5
5,116107,H.Res. 5,2015-01-06T17:30:00,Passed,H.Res. 5: Adopting rules for the One Hundred Fourteenth Congress.,1/2,172,9,234,On the Resolution,2015,0.152709,passage,https://www.govtrack.us/congress/votes/114-2015/h6
6,116108,H.R. 22,2015-01-06T18:31:00,Passed,H.R. 22: Developing a Reliable and Innovative Vision for the Economy Act,2/3,0,3,412,On Motion to Suspend the Rules and Pass,2015,1.0,passage_suspension,https://www.govtrack.us/congress/votes/114-2015/h7
7,116113,H.R. 26,2015-01-07T15:07:00,Passed,H.R. 26: Terrorism Risk Insurance Program Reauthorization Act of 2015,2/3,5,6,416,On Motion to Suspend the Rules and Pass,2015,0.976247,passage_suspension,https://www.govtrack.us/congress/votes/114-2015/h8
8,116111,H.R. 37,2015-01-07T15:23:00,Failed,H.R. 37: Promoting Job Creation and Reducing Small Business Burdens Act,2/3,146,5,276,On Motion to Suspend the Rules and Pass,2015,0.308057,passage_suspension,https://www.govtrack.us/congress/votes/114-2015/h9
9,116112,H.R. 23,2015-01-07T15:32:00,Passed,H.R. 23: National Windstorm Impact Reduction Act Reauthorization of 2015,2/3,39,7,381,On Motion to Suspend the Rules and Pass,2015,0.814286,passage_suspension,https://www.govtrack.us/congress/votes/114-2015/h10
10,116114,H.Res. 19,2015-01-08T13:53:00,Passed,On Ordering the Previous Question: H.Res. 19: Providing for consideration of the bill (H.R. 3) to approve the Keystone XL ...,1/2,180,9,240,On Ordering the Previous Question,2015,0.142857,procedural,https://www.govtrack.us/congress/votes/114-2015/h11
11,116115,H.Res. 19,2015-01-08T14:10:00,Passed,"H.Res. 19: Providing for consideration of the bill (H.R. 3) to approve the Keystone XL Pipeline, and providing for consideration ...",1/2,181,4,244,On the Resolution,2015,0.148235,passage,https://www.govtrack.us/congress/votes/114-2015/h12
12,116118,H.R. 30,2015-01-08T16:07:00,Failed,On Motion to Recommit with Instructions: H.R. 30: Save American Workers Act of 2015,1/2,244,6,179,On the Motion to Recommit,2015,0.153664,procedural,https://www.govtrack.us/congress/votes/114-2015/h13
13,116119,H.R. 30,2015-01-08T16:16:00,Passed,H.R. 30: Save American Workers Act of 2015,1/2,172,5,252,On Passage of the Bill,2015,0.188679,passage,https://www.govtrack.us/congress/votes/114-2015/h14
14,116121,H.R. 3,2015-01-09T12:56:00,Failed,On Motion to Recommit with Instructions: H.R. 3: Keystone XL Pipeline Act,1/2,237,12,180,On the Motion to Recommit,2015,0.136691,procedural,https://www.govtrack.us/congress/votes/114-2015/h15
15,116120,H.R. 3,2015-01-09T13:05:00,Passed,H.R. 3: Keystone XL Pipeline Act,1/2,153,10,266,On Passage of the Bill,2015,0.26969,passage,https://www.govtrack.us/congress/votes/114-2015/h16
16,116125,H.R. 203,2015-01-12T19:00:00,Passed,H.R. 203: Clay Hunt SAV Act,2/3,0,29,403,On Motion to Suspend the Rules and Pass,2015,1.0,passage_suspension,https://www.govtrack.us/congress/votes/114-2015/h17
17,116123,H.R. 33,2015-01-12T19:09:00,Passed,H.R. 33: Protecting Volunteer Firefighters and Emergency Responders Act,2/3,0,31,401,On Motion to Suspend the Rules and Pass,2015,1.0,passage_suspension,https://www.govtrack.us/congress/votes/114-2015/h18
18,116122,,2015-01-12T19:16:00,Passed,On Approving the Journal,1/2,128,47,257,On Approving the Journal,2015,0.335065,procedural,https://www.govtrack.us/congress/votes/114-2015/h19
19,116126,H.Res. 27,2015-01-13T14:21:00,Passed,On Ordering the Previous Question: H.Res. 27: Providing for consideration of the bill (H.R. 37) to make technical corrections to ...,1/2,181,10,242,On Ordering the Previous Question,2015,0.144208,procedural,https://www.govtrack.us/congress/votes/114-2015/h20
20,116128,H.Res. 27,2015-01-13T14:30:00,Passed,H.Res. 27: Providing for consideration of the bill (H.R. 37) to make technical corrections to the Dodd-Frank Wall Street Reform ...,1/2,180,11,242,On the Resolution,2015,0.146919,passage,https://www.govtrack.us/congress/votes/114-2015/h21
21,116127,,2015-01-13T14:37:00,Passed,On Approving the Journal,1/2,160,12,261,On Approving the Journal,2015,0.239905,procedural,https://www.govtrack.us/congress/votes/114-2015/h22
22,116133,H.R. 185,2015-01-13T16:49:00,Agreed to,"H.Amdt. 2 (McKinley) to H.R. 185: Amendment ensures that the Agencies, when developing regulations, must take into consideration and account ...",1/2,168,11,254,On the Amendment,2015,0.203791,amendment,https://www.govtrack.us/congress/votes/114-2015/h23
23,116132,H.R. 185,2015-01-13T16:56:00,Failed,H.Amdt. 3 (Johnson) to H.R. 185: Amendment sought to exempt from the bill all rules or guidance that the Director ...,1/2,247,8,178,On the Amendment,2015,0.162353,amendment,https://www.govtrack.us/congress/votes/114-2015/h24
24,116134,H.R. 185,2015-01-13T17:00:00,Failed,H.Amdt. 4 (Jackson Lee) to H.R. 185: Amendment sought to exempt from the bill all rules promulgated by the Department ...,1/2,249,8,176,On the Amendment,2015,0.171765,amendment,https://www.govtrack.us/congress/votes/114-2015/h25
25,116129,H.R. 185,2015-01-13T17:05:00,Failed,H.Amdt. 5 (Connolly) to H.R. 185: Amendment sought to exempt from the bill any rule or guidance pertaining to public ...,1/2,248,7,178,On the Amendment,2015,0.164319,amendment,https://www.govtrack.us/congress/votes/114-2015/h26
26,116131,H.R. 185,2015-01-13T17:21:00,Failed,On Motion to Recommit with Instructions: H.R. 185: Regulatory Accountability Act of 2015,1/2,245,8,180,On the Motion to Recommit,2015,0.152941,procedural,https://www.govtrack.us/congress/votes/114-2015/h27
27,116130,H.R. 185,2015-01-13T17:29:00,Passed,H.R. 185: Regulatory Accountability Act of 2015,1/2,175,8,250,On Passage of the Bill,2015,0.176471,passage,https://www.govtrack.us/congress/votes/114-2015/h28
28,116135,H.R. 240,2015-01-14T11:15:00,Agreed to,H.Amdt. 6 (Aderholt) to H.R. 240: Amendment prevents use of any funds to: (1) carry-out the Executive actions announced on ...,1/2,190,6,237,On the Amendment,2015,0.11007,amendment,https://www.govtrack.us/congress/votes/114-2015/h29
29,116141,H.R. 240,2015-01-14T11:24:00,Agreed to,"H.Amdt. 7 (Blackburn) to H.R. 240: Amendment prohibits Federal funding, fees, or resources from being used to consider or adjudicate ...",1/2,209,6,218,On the Amendment,2015,0.0210773,amendment,https://www.govtrack.us/congress/votes/114-2015/h30
30,116137,H.R. 240,2015-01-14T11:28:00,Agreed to,"H.Amdt. 8 (DeSantis) to H.R. 240: Amendment requires that DHS treat any alien convicted of any offense involving domestic violence, ...",1/2,149,6,278,On the Amendment,2015,0.302108,amendment,https://www.govtrack.us/congress/votes/114-2015/h31
31,116139,H.R. 240,2015-01-14T11:33:00,Agreed to,H.Amdt. 9 (Salmon) to H.R. 240: Amendment expresses the sense of Congress that the Executive Branch should not pursue policies ...,1/2,171,9,253,On the Amendment,2015,0.193396,amendment,https://www.govtrack.us/congress/votes/114-2015/h32
