,Member,Bill,Link,Vote,Question
0,412283,116527, https://www.govtrack.us/congress/votes/114-2015/h241 ,Yea,H.R. 1313: Service Disabled Veteran Owned Small Business Relief Act
1,412283,116525, https://www.govtrack.us/congress/votes/114-2015/h242 ,Yea,H.R. 1382: Boosting Rates of American Veteran Employment Act
2,412283,117253, https://www.govtrack.us/congress/votes/114-2015/h495 ,Yea,H.R. 1214: National Forest Small Tracts Act Amendments Act of 2015
3,412283,117252, https://www.govtrack.us/congress/votes/114-2015/h496 ,Yea,H.R. 1949: National Liberty Memorial Clarification Act of 2015
4,412283,117301, https://www.govtrack.us/congress/votes/114-2015/h534 ,Yea,H.R. 1553: Small Bank Exam Cycle Reform Act of 2015
5,412283,117302, https://www.govtrack.us/congress/votes/114-2015/h535 ,Yea,H.R. 1839: RAISE Act of 2015
6,412282,116301, https://www.govtrack.us/congress/votes/114-2015/h125 ,No,H.R. 1030: Secret Science Reform Act of 2015
7,412282,116669, https://www.govtrack.us/congress/votes/114-2015/h359 ,No,H.Res. 305: Providing for consideration of the Senate amendment to the bill (H.R. 1314) to amend the Internal Revenue Code ...
8,412282,117277, https://www.govtrack.us/congress/votes/114-2015/h518 ,No,H.R. 348: RAPID Act
9,412280,116244, https://www.govtrack.us/congress/votes/114-2015/h84 ,Yea,H.R. 212: Drinking Water Protection Act
10,412280,116245, https://www.govtrack.us/congress/votes/114-2015/h85 ,Yea,H.R. 734: Federal Communications Commission Consolidated Reporting Act of 2015
11,412286,116452, https://www.govtrack.us/congress/votes/114-2015/h181 ,No,H.Res. 231: Providing for consideration of the bill (H.R. 1732) to preserve existing rights and responsibilities with respect to waters ...
12,412286,116697, https://www.govtrack.us/congress/votes/114-2015/h376 ,No,H.R. 1190: Protecting Seniors Access to Medicare Act of 2015
13,412286,116696, https://www.govtrack.us/congress/votes/114-2015/h377 ,Yea,H.R. 805: Domain Openness Through Continued Oversight Matters Act of 2015
14,412286,116698, https://www.govtrack.us/congress/votes/114-2015/h378 ,Yea,H.R. 2576: TSCA Modernization Act of 2015
15,412286,116800, https://www.govtrack.us/congress/votes/114-2015/h448 ,Yea,H.R. 1557: Federal Employee Antidiscrimination Act of 2015
16,412286,116801, https://www.govtrack.us/congress/votes/114-2015/h449 ,Yea,H.R. 2256: Veterans Information Modernization Act
17,412286,117213, https://www.govtrack.us/congress/votes/114-2015/h467 ,Yea,S. 1482: Need-Based Educational Aid Act of 2015
18,412286,117215, https://www.govtrack.us/congress/votes/114-2015/h468 ,Yea,H.R. 1656: Secret Service Improvements Act of 2015
19,412286,117214, https://www.govtrack.us/congress/votes/114-2015/h469 ,Yea,H.R. 2770: Keeping our Travelers Safe and Secure Act
20,412286,117245, https://www.govtrack.us/congress/votes/114-2015/h490 ,Yea,S. 1359: E-Warranty Act of 2015
21,412286,117253, https://www.govtrack.us/congress/votes/114-2015/h495 ,Yea,H.R. 1214: National Forest Small Tracts Act Amendments Act of 2015
22,412286,117252, https://www.govtrack.us/congress/votes/114-2015/h496 ,Yea,H.R. 1949: National Liberty Memorial Clarification Act of 2015
23,412286,117282, https://www.govtrack.us/congress/votes/114-2015/h519 ,Yea,H.R. 2835: Border Jobs for Veterans Act of 2015
24,412286,117283, https://www.govtrack.us/congress/votes/114-2015/h520 ,Yea,H.R. 2786: Cross-Border Rail Security Act of 2015
25,412286,117911, https://www.govtrack.us/congress/votes/114-2015/h582 ,Yea,H.R. 1853: To direct the President to develop a strategy to obtain observer status for Taiwan in the International Criminal ...
